username,most_active_day,most_active_hour,freq_of_most_hashtag,location,verified,followers_count,friends_count,favourites_count,statuses_count,month_created,year_created,is_buzzer
MeiliantiTeti,1,15,337,1,0,30,63,1383,143,2,2019,0
Melata_Dijalan,2,9,4,1,0,154,205,916,3213,10,2017,0
melia71kusumawa,3,4,6,1,0,14,71,49,79,12,2013,0
merwinreynold,2,16,27,1,0,1295,2176,31426,52890,6,2010,0
MFAnsyaruddin,6,17,2,1,0,110,534,5177,1945,2,2017,0
mieayamgerobak,1,3,341,1,0,19,114,12,172,11,2013,0
mindar69,7,16,13,1,0,649,2498,12218,8213,10,2009,0
mjenar2,2,12,38,0,0,395,406,22763,18776,3,2017,0
Moch_herianto,5,13,1,1,0,1809,547,16787,19300,7,2013,0
MOCHAMADIWAN5,2,12,13,1,0,101,113,3870,8328,10,2016,0
mochsadikin,6,14,5,1,0,72,112,6670,2850,2,2012,0
MohAliMahmud1,6,3,25,0,0,99,249,8105,4469,1,2019,0
MohammadKhafi11,6,12,2,0,0,155,878,4905,4872,3,2019,0
MohammedrizkyNR,7,7,48,1,0,95,152,421,412,1,2019,0
momybastian,2,20,12,1,0,438,1135,10001,14569,2,2011,0
Monicaangelia29,7,10,5,1,0,9,40,127,170,12,2018,0
Parakang_TL,5,10,54,1,0,2590,1965,48,1853,7,2014,0
KertasGulung,2,13,3,1,0,20,6,9,98,10,2010,0
Salsabila_safn,3,4,496,0,0,9,24,11,6,3,2018,0
kintan89,4,9,453,0,0,21,104,3,48,2,2019,0
GFinarta,2,3,2,0,0,2,31,1,44,2,2019,0
AyoBogor,2,4,232,1,0,1677,102,946,74238,8,2015,0
panwaslihabar,1,3,20,1,0,269,9,0,57,9,2009,0
BandungINFO_KU,1,12,65,1,0,4061,33,36,226844,12,2012,0
malikwibowo10,2,4,96,0,0,32,112,1268,2337,8,2017,0
elyaghea,7,15,60,1,0,282,15,186,3552,2,2019,0
ziswakartika,7,9,2,1,0,13,24,181,29,9,2018,0
Polresta_SMD,3,1,109,1,0,1145,117,344,2831,3,2013,0
PolsekSidoharjo,2,4,2,0,0,1,0,4,185,6,2018,0
olgaArsenalFC,1,16,10,1,0,1269,622,720,45038,10,2010,0
GagakNew,1,3,4,0,0,3426,578,745,72907,1,2018,0
Huda_Refo,1,13,7,1,0,10,162,447,542,5,2018,0
seputarTA,1,13,10,1,0,12181,2660,1088,94179,1,2012,0
cari2info,3,23,28,0,0,1585,34,25,149461,10,2012,0
Ulul_Ilmie,1,14,1,1,0,76,209,4,44,10,2013,0
erick_meztymezt,4,1,4,1,0,130,266,321,4516,8,2012,0
DeniRangga1,3,7,6,1,0,26228,26756,17961,15142,12,2013,0
CloverMagi,4,7,27,0,0,133,273,29278,8113,3,2019,0
purnama_gian,4,16,1,0,0,36,143,8,23,1,2014,0
DaweReal,7,6,46,0,0,2,5,83,92,3,2019,0
Jodha_Akbar_S,5,8,447,1,0,7,88,3,54,1,2019,0
putra_pamex,4,8,62,1,0,254,582,300,6743,8,2011,0
tour_a3,1,13,10,0,0,3,86,21,54,2,2019,0
FarisMuddin,6,3,9,1,0,190,262,709,519,3,2011,0
Citraputrirmd,1,15,11,1,0,292,315,94,2901,2,2012,0
isyarancic,6,15,9,0,0,181,127,11,4738,2,2010,0
inijonynih,4,15,29,1,0,304,418,3124,3772,5,2010,0
juneisup,4,15,2,1,0,493,356,1617,32518,5,2010,0
kolejlaif,6,13,4,1,0,736,421,1535,25831,3,2011,0
nuha_lin,7,14,4,1,0,63,184,2289,1751,3,2011,0
HandayaniSistri,4,14,175,1,0,179,77,32,2798,7,2016,0
aniek_supoyo,3,14,167,0,0,265,102,2,3149,4,2016,0
LamselBawaslu,6,2,442,1,0,43,28,40,136,10,2018,0
Misbah22_5,1,14,23,1,0,22,87,6571,5353,5,2018,0
ANHAthougts,2,14,485,0,0,5,12,8,16,4,2019,0
Humas_PolresBIK,2,3,8,1,0,31,343,20,94,11,2017,0
PolresKepahiang,5,6,49,1,0,80,131,61,1524,10,2013,0
rifqiyep,1,14,5,1,0,185,234,706,19333,2,2015,0
bola_media,7,22,70,1,0,1151,75,125,123931,10,2012,0
AriefBachti,5,13,243,1,0,7,51,564,258,7,2018,0
DianaYuanita110,3,14,177,0,0,335,125,15,2974,4,2016,0
dindanrnwt,4,14,2,0,0,618,430,241,3401,2,2012,0
ihhindra,1,7,45,1,0,637,1633,7,643,4,2012,0
dunia_hagia,4,6,2,1,0,15,50,10,70,3,2019,0
rahardjo_hary,6,4,8,1,0,181,771,1189,280,11,2018,0
nhhaqi,5,5,3,0,0,5,38,28,53,4,2019,0
Mayasafitri05,3,14,63,1,0,52,71,1337,5339,8,2017,0
Ardiarsari,5,16,3,1,0,260,156,3721,8359,2,2010,0
Galih914,3,7,115,0,0,50,139,199,624,1,2019,0
_kankuu,6,12,3,1,0,59,3,11,108,1,2013,0
IzrailIrawan,2,6,55,1,0,64,946,815,547,10,2017,0
GusdurianKL,6,14,33,1,0,1201,649,2485,7306,4,2015,0
adi99jauhari,3,18,9,1,0,146,1305,7504,6775,12,2011,0
nasrulabidinwae,2,23,3,0,0,38,459,2940,509,10,2013,0
NugYmuL,1,12,40,1,0,371,677,13,1449,10,2010,0
watyutink,3,8,51,0,0,260,1003,501,1039,8,2017,0
cmsanatadharma,2,2,32,1,0,864,382,438,5024,2,2012,0
rageisna,7,13,2,1,0,597,196,154,24953,4,2010,0
KejaksaanRI,3,9,32,1,1,59576,88,2307,6224,3,2016,0
Agus_Tsay,6,7,13,1,0,127,895,4065,16740,1,2017,0
SuryaSilalahi2,1,10,1,0,0,22,70,20,9,8,2018,0
kurtadit,7,15,4,1,0,500,592,347,14443,4,2011,0
1putraFranklin,4,8,2,0,0,22,32,32,51,8,2015,0
AyuManda19,2,8,468,1,0,13,44,0,33,9,2018,0
RosLin153,3,0,4,1,0,17,65,693,938,9,2016,0
Rokku_Rock,5,15,15,0,0,14,78,4259,179,9,2013,0
renita_,4,14,3,1,0,407,239,99,31386,6,2009,0
fsyam2811,7,7,147,0,0,30,391,363,353,2,2018,0
syarief_thalib,1,3,96,1,0,163,123,890,1216,2,2013,0
Briaandam1,6,20,3,1,0,19,74,9,211,2,2019,0
akun_easy,5,3,83,0,0,1354,3959,18296,22411,8,2013,0
riansulistio11,7,17,7,1,0,292,4061,34539,31110,9,2015,0
eugenejung14,7,6,469,1,0,7,46,6,34,12,2018,0
SekTebatKarai,5,13,17,1,0,14,102,8,1227,3,2018,0
riatul_HN,1,15,2,1,0,13,40,249,253,9,2016,0
ardansyah007,6,10,8,1,0,34,60,227,270,2,2013,0
ykbmedia,2,1,158,0,0,95,34,4,6911,1,2013,0
Kalimas_desaku,2,14,34,1,0,171,94,2773,866,10,2017,0
widya_widey,2,2,5,1,0,230,270,280,1660,8,2009,0
Fans_Of_Shekari,5,1,428,1,0,10,23,62,77,12,2018,0
IsmailM99050251,6,5,5,0,0,0,10,123,58,9,2018,0
El_Shiirazy,5,15,23,1,0,43,72,61,2358,7,2011,0
PINXtter,5,15,31,1,0,172,310,87,3060,11,2010,0
piusyarif,5,15,8,1,0,458,410,231,18682,3,2009,0
IPPNU_BWI,7,0,240,1,0,206,49,95,262,3,2016,0
yonarmed3,4,14,37,1,0,139,297,306,1804,12,2017,0
KBRI_Athena,4,7,22,1,0,1079,126,328,948,1,2015,0
abebgs,7,5,3,1,0,176,275,1147,13284,3,2013,0
aingmaungjati,7,10,8,1,0,13,27,62,37,1,2019,0
humaspolres_pwk,5,3,29,0,0,3031,4611,3765,31324,12,2015,0
Dendy_Koeswara,2,19,7,1,0,296,234,82,10447,2,2011,0
LFakhruni,3,6,2,1,0,4,39,20,24,8,2018,0
nengbeng,2,10,10,1,0,761,474,2707,80294,8,2009,0
ulf_aw,4,13,5,1,0,228,326,2438,2998,4,2011,0
Just_Mugiyanto,1,14,35,1,0,106,170,1670,859,9,2018,0
Kubrilclbk,2,4,21,1,0,3677,1658,11445,88183,6,2011,0
PengamenAngkot,5,5,5,1,0,22,334,1689,1257,4,2017,0
zelfeniwimra,1,11,6,1,0,909,720,279,2511,3,2011,0
ikamarsella,1,12,1,1,0,1127,889,188,23677,5,2010,0
PolresYahukimo,1,2,430,1,0,10,2,0,108,3,2018,0
Achmad46Maulan1,6,14,5,1,0,71,566,4261,1843,7,2018,0
Nisrinalusya,2,2,34,1,0,267,171,150,848,5,2013,0
dkdlfls_,3,10,2,1,0,496,444,11611,50991,8,2009,0
AA_AndiAlfian,1,3,1,1,0,6,13,13,7,1,2010,0
naufalputran,3,17,7,1,0,162,175,138,3206,4,2013,0
sukajalanterus,6,0,26,1,0,315,877,1695,21328,10,2010,0
letaabigail,3,8,1,1,0,6,18,17,89,10,2018,0
AnanKrisujak,2,2,41,1,0,83,321,741,1400,10,2009,0
oktho,3,14,2,1,0,375,390,339,20717,1,2010,0
AdeliaMaghf,3,1,3,1,0,402,339,87,6774,6,2011,0
Chiciae,6,12,5,1,0,337,112,77,3682,3,2012,0
wppraningtyas,1,13,2,1,0,907,1692,5422,52042,2,2011,0
dody_js,2,2,12,0,0,319,393,54,10415,4,2012,0
marthunisbujung,5,14,5,0,0,812,232,354,10190,3,2011,0
kairamedina93,3,4,6,0,0,22,45,13,81,3,2019,0
fitrianhusna,6,5,6,1,0,73,135,181,225,1,2015,0
IndonesiaBaikId,4,10,43,1,1,9281,135,190,4583,2,2017,0
AndyRachmianto,4,4,10,1,0,237,81,118,1337,5,2017,0
RockNCok666,4,18,8,1,0,160,149,39,6540,3,2011,0
auliyakhumar,1,13,1,1,0,846,1705,2687,17158,9,2009,0
dausyk,7,22,2,1,0,99,483,223,6983,10,2012,0
Agoengtriady,1,15,22,1,0,274,226,17,2628,11,2010,0
OliviaOpy,3,9,4,1,0,13,39,7,131,10,2018,0
BillyFunky,2,13,45,1,0,925,2072,3219,39041,12,2009,0
SaraahWilliamsz,3,14,56,1,0,78,39,1324,2001,1,2019,0
ryan_haris,6,23,3,1,0,279,267,160,6110,8,2010,0
Beritasatu,3,8,150,1,1,546118,175,15,750619,6,2010,0
MuhIkhsan99,2,15,15,1,0,726,1896,15755,44595,8,2011,0
MarieMuhammad__,5,8,2,1,0,14,20,12,144,12,2018,0
AriefFadhilah09,1,22,43,1,0,199,163,154345,20359,3,2017,0
penguasahati,2,7,3,1,0,3946,443,14046,67733,7,2009,0
KomnasHAM,6,3,7,1,1,50427,100,429,7417,8,2010,0
Unair_Official,2,1,18,1,1,40283,148,0,23184,1,2013,0
antheansb,3,12,2,1,0,80,90,1539,3579,8,2018,0
noersyamnoer2,2,6,26,1,0,73,113,897,13562,2,2016,0
woeland72,4,14,43,1,0,830,725,8157,18696,1,2011,0
Angga_Reza09,5,11,87,1,0,30,169,5294,1770,9,2017,0
net_berbicara,7,8,5,0,0,310,4,1,77,2,2019,0
Deviraratu1,6,6,2,0,0,168,168,1,10,10,2018,0
moan1974,6,13,3,1,0,2451,496,32146,40272,6,2016,0
YaniSunarno,4,4,30,1,0,5128,171,1393,2249,2,2016,0
intanvalen,2,6,3,1,0,14,36,69,107,10,2016,0
Angga_Sinaga17,1,23,2,1,0,557,892,7,937,1,2011,0
hanifahhhf,4,23,3,1,0,507,154,509,28562,8,2012,0
idolasemarang,5,1,102,1,0,11711,79,255,126967,10,2011,0
dmllhdt,5,16,2,0,0,585,109,649,4233,8,2012,0
NurIntani6,1,3,482,0,0,2,15,1,19,2,2019,0
Annisainsani10,4,11,5,0,0,3,39,6,74,2,2019,0
cabjarilaulalan,4,4,11,0,0,11,63,0,31,4,2015,0
bkdjatengprov,3,4,80,1,1,30500,185,24348,23016,8,2014,0
BangRendhika,1,4,78,1,0,196,90,9571,2000,5,2013,0
fikri_ariza,5,15,29,1,0,87,315,4244,3010,1,2014,0
klinikhukum,2,3,121,1,0,117890,190,34,90454,10,2009,0
AzraNamla,3,2,22,1,0,12,299,305,233,8,2018,0
bennyekapoetra1,3,13,20,1,0,309,101,365,362500,7,2010,0
om_iswdg,2,8,9,0,0,374,186,6951,6356,5,2018,0
1MenujuDamai,5,4,21,0,0,2550,937,12863,443999,8,2013,1
54b95a1f5445449,6,15,3,0,0,650,1278,6028,7205,12,2014,1
AchieManroe,2,21,9,1,0,378,368,6243,2598,2,2018,1
AmrullahTika,4,21,20,1,0,158,423,7579,5648,5,2011,1
ArekNdeso15,7,2,3,0,0,526,83,3938,5898,7,2018,1
Ariefs82gmailc1,5,10,16,0,0,131,130,14657,3162,10,2018,1
cahaya_manusia,2,22,24,0,0,222,969,1559,2940,12,2018,1
chandranaya9,3,11,7,0,0,1246,1324,19884,24011,10,2014,1
darbulax,7,13,5,0,0,266,397,4178,29786,3,2012,1
Deni45158,6,15,7,0,0,211,177,6006,14741,11,2014,1
DietzNo,5,15,7,1,0,454,969,273,9939,8,2010,1
DimasPermana817,7,6,16,0,0,3162,858,57967,78816,11,2017,1
Dumeh9,3,11,9,0,0,292,890,1093,2901,9,2017,1
elhami87738242,7,0,34,1,0,340,2653,2816,5703,4,2019,1
erikgede,5,9,12,1,0,413,678,52523,49632,11,2010,1
himura89517038,6,6,18,1,0,897,1210,57337,54167,8,2015,1
I_Guswar,7,21,13,1,0,523,773,19625,41627,1,2010,1
ijoenisti,5,1,12,1,0,534,323,264,20249,6,2009,1
ImanSyafei3,6,11,9,1,0,74,188,1452,4347,1,2017,1
JakartaStar,4,22,54,1,0,1950,4882,1309,102208,4,2009,1
JendJoen,6,9,11,1,0,677,512,92241,72577,7,2014,1
KasanBaret,7,15,75,1,0,1636,1595,6637,10084,7,2017,1
LaeGaligo,6,13,74,1,0,338,706,2,9533,4,2019,1
marSyaheedAS,6,13,10,1,0,1807,2156,898,154462,11,2009,1
marwinteladan3,6,8,70,0,0,273,278,13915,17082,11,2016,1
memphisbelle311,5,12,6,0,0,150,298,21733,4370,5,2015,1
meongcucuh1123,2,15,6,0,0,356,475,194,468,1,2018,1
MisbahS10,7,22,6,1,0,111,290,7075,5953,3,2019,1
NanangPepi,7,5,27,0,0,34,74,5175,2846,2,2019,1
pertiwi_bunda,6,22,16,0,0,462,296,36731,34060,5,2018,1
rez_fir,7,14,10,0,0,147,99,443,14442,5,2012,1
Rsenosujana1,6,16,62,0,0,1326,2087,24059,73238,9,2016,1
RujackX,6,18,32,0,0,1250,1227,56318,55011,9,2018,1
Sans20580686,3,13,23,0,0,797,350,48618,23612,1,2018,1
Satia21132856,4,8,8,0,0,98,209,10421,8103,1,2019,1
SteelfireMe,4,11,153,0,0,25,70,2749,696,2,2019,1
sukabumiazam,6,23,22,0,0,318,1453,36929,43461,6,2013,1
Tahu_bulet1,1,3,14,0,0,210,291,4114,3143,3,2019,1
Tatik37414927,5,9,42,1,0,1117,753,73963,29286,9,2017,1
UmiFatih10,7,4,3,1,0,3410,2245,25179,18896,10,2018,1
URabelli,7,23,12,1,0,829,965,21648,25281,7,2018,1
visiau,6,15,14,1,0,728,1439,34339,43252,7,2010,1
yoyokss,4,6,48,0,0,63,36,399,2275,12,2009,1
yulierg,1,14,16,1,0,121,321,163,279,6,2010,1
_andra24,2,14,17,1,0,629,697,259,31429,1,2013,1
_chFaizaL_,4,14,13,1,0,8,29,14,374,4,2011,1
_Lelling_,3,14,49,1,0,161,183,5999,1901,4,2015,1
_sky_tree,7,13,4,0,0,2875,1081,968,31311,12,2013,1
02Sutrisno,6,13,70,1,0,144,318,3157,2993,3,2019,1
1907GLITCH,2,6,1,1,0,2,44,10,13,4,2019,1
2019GantiJoki,3,3,22,1,0,2359,1510,30018,49958,7,2016,1
2019PADI_,7,12,27,0,0,142,285,393,660,12,2016,1
2019tetapjkwma,6,13,323,1,0,329,167,5379,28500,7,2012,1
302Araz,2,15,19,0,0,93,242,9303,8896,12,2018,1
5uma_H4n,2,10,4,1,0,131,435,6947,3708,5,2010,1
73Buset,7,9,13,1,0,482,585,23552,19673,1,2014,1
9eee3d6f3784488,7,18,15,0,0,98,48,9808,3981,3,2015,1
aaamena1,5,10,155,0,0,16,19,376,585,3,2019,1
AAkbar66,6,14,22,1,0,534,698,32677,12562,7,2018,1
ab_anward,2,1,21,0,0,293,982,1923,32876,6,2014,1
AbahUjang13,4,10,15,0,0,97,258,2982,4156,3,2019,1
Abankgera999,4,17,7,0,0,414,1415,50719,49433,7,2014,1
AbdSalam_417,5,9,13,0,0,396,1162,2483,8471,12,2009,1
abdulbasittegal,6,13,20,0,0,28,102,82,344,6,2013,1
AbdullahMubarq,4,9,7,1,0,1197,354,4630,37607,10,2016,1
AbdulQadim1953,3,10,165,0,0,68,54,30,243,4,2019,1
AbdulQu29488021,6,14,18,1,0,189,471,3865,1244,2,2019,1
abi_daawud,5,9,9,1,0,762,1333,23714,20589,11,2012,1
abu_hudzaifah,6,22,22,1,0,373,1234,795,1309,12,2010,1
abuaqfal,1,23,10,0,0,13,154,975,903,2,2019,1
abuhisyam14,5,5,384,1,0,464,662,73,114,3,2015,1
AbuShafar_id,2,16,13,1,0,171,31,209,231,4,2019,1
Abustang4,2,3,11,1,0,93,467,7749,4960,7,2017,1
AcehSelatanSatu,3,15,18,1,0,9985,4640,6495,20981,2,2014,1
AchmadAndrego,6,9,44,0,0,223,872,18318,18943,3,2014,1
achmadmubarok81,6,1,16,1,0,1358,2334,66322,32181,9,2013,1
AchmadShonnyArc,6,1,27,1,0,123,325,7199,10523,8,2012,1
ad1suryad1,1,16,42,1,0,389,120,2217,4893,9,2016,1
AdaCeuceu,3,4,22,1,0,1712,587,14671,14273,11,2018,1
adam_moGerz,5,13,8,1,0,974,1001,317,30932,9,2011,1
Addyhens,3,14,22,0,0,314,464,28998,26542,10,2018,1
AdeAnnie1,3,22,20,1,0,4216,4240,29642,36669,7,2017,1
Adebayo46547328,6,20,18,1,0,278,577,7449,6474,3,2019,1
Adhi_Faiz,5,10,4,1,0,1275,1201,8804,22161,4,2010,1
Adi_Jul1,7,3,37,0,0,124,179,6125,4357,12,2010,1
Adi7114,7,13,31,0,0,151,117,6729,15870,8,2018,1
adjiesukma,3,0,5,1,0,514,371,4794,3174,11,2009,1
Adra_perantau,6,20,10,1,0,3271,4935,66492,62354,11,2013,1
AEPishere,7,6,6,1,0,2952,5001,580145,614094,1,2011,1
afaymf,3,15,9,1,0,184,467,12520,11371,9,2010,1
Afrizam4,1,0,34,1,0,374,701,15587,6907,12,2017,1
AHerucokro,4,12,11,1,0,166,514,14152,14317,2,2018,1
ahmad_bsd,5,23,15,1,0,404,574,20741,21618,9,2018,1
AhmadAndry,6,21,5,1,0,96,105,9021,4205,12,2010,1
ahmadraka1991,6,19,8,1,0,897,1718,3365,4901,4,2017,1
ahmadzikriaja,5,12,9,0,0,610,962,34946,28173,10,2014,1
ahmed_elhanif,3,16,49,0,0,153,583,995,1345,1,2011,1
AHSANFURQANIBR5,6,9,16,1,0,217,465,11659,13185,9,2016,1
AJazuli5,4,17,53,0,0,291,234,35340,7738,1,2014,1
AkhifaDanie,6,13,12,1,0,341,1046,2540,1536,6,2013,1
AkmalsQuad,4,12,39,1,0,74,203,709,1045,8,2018,1
Akunketiga6,4,13,7,0,0,120,238,743,1387,4,2019,1
Aldimahdi2,1,10,7,0,0,109,284,3891,3314,2,2019,1
Alexs66228512,6,11,8,0,0,83,117,12559,2440,4,2018,1
alfin_suli,1,12,15,1,0,53,712,1370,602,4,2013,1
AlfiRahmadi3,2,18,3,1,0,9,50,23,185,10,2018,1
AlfredoDeBocori,6,1,6,1,0,95,195,2485,10703,2,2012,1
ali_lenon,6,9,10,0,0,342,268,27435,17396,11,2018,1
Aliakba04945500,3,1,162,0,0,775,1636,380,7510,3,2019,1
AlifPancasila,6,18,39,0,0,62,114,17585,6635,10,2014,1
alqosam9991,7,1,9,1,0,115,132,1393,8224,3,2018,1
AmeliaP96199663,6,7,15,0,0,33,99,7041,2534,1,2019,1
Amet_81,4,9,32,0,0,1321,1204,28484,33363,1,2012,1
Ammar230214,5,16,14,1,0,3870,3525,58269,31504,11,2017,1
an_Dika07,3,21,4,1,0,78,78,9622,3570,5,2016,1
An91tony,6,15,137,1,0,8,0,2,12628,8,2018,1
anantamikola,7,6,18,0,0,54,169,8705,6405,7,2015,1
anastasiadv,1,2,191,0,0,12,32,11,4736,3,2019,1
andesrim,7,11,5,0,0,789,944,66750,16939,12,2011,1
Andi_Doank_,7,2,16,1,0,99,170,1344,905,3,2019,1
andi_irawaaan,5,7,5,0,0,479,561,12690,6662,12,2012,1
Andi43861013,3,17,60,1,0,398,995,6299,4626,3,2019,1
andotulong,4,21,4,1,0,494,961,33659,17906,12,2010,1
andreana81,4,3,18,1,0,36,217,839,5155,2,2012,1
andrebirumuda,2,15,21,1,0,1369,2042,15407,23501,3,2011,1
Andri0319,5,2,10,0,0,39,42,230,1094,2,2019,1
AndriEkoP2,1,11,10,0,0,51,106,1679,2936,2,2019,1
andryanidyah,4,3,26,1,0,367,543,1794,1466,11,2010,1
AndryMardha,3,15,5,0,0,30,460,3618,2264,2,2019,1
andryvolta,7,14,7,1,0,55,238,11234,2731,8,2010,1
AndyPra56444754,4,22,5,1,0,162,87,1250,5882,6,2017,1
AnesUlarNaga,7,11,15,1,0,254,366,22368,8138,8,2010,1
anFanani,7,3,46,0,0,1863,2768,26650,32042,10,2018,1
anggarini90,7,23,6,0,0,177,209,4564,4773,9,2010,1
anggawijaya29,5,10,18,1,0,312,345,3488,4770,1,2013,1
Angnana16,3,2,13,0,0,52,288,663,2824,3,2019,1
anjing_rizieq,2,14,4,1,0,100,255,1073,1294,3,2019,1
anndree69,3,9,28,0,0,185,508,1889,1272,1,2019,1
antoroantoro1,5,21,21,0,0,16,56,929,769,3,2019,1
Aqidah_Aqliyah,6,13,31,1,0,992,1080,482,473,3,2019,1
arddy_an,3,21,19,0,0,853,783,16910,13418,1,2016,1
ArdhyCelebes,6,9,5,0,0,54,163,45,76,3,2019,1
arimaharta,5,5,33,1,0,309,1007,6143,6149,7,2014,1
Arrype2,7,17,15,1,0,21,30,114,421,2,2017,1
arsa_bagaskara,4,23,14,1,0,146,55,10761,5296,4,2016,1
arungpatola,5,6,9,0,0,176,483,15033,1003,12,2015,1
AryPrasetyo_85,7,15,21,1,0,2523,507,16322,17499,2,2019,1
arzhaqprabowo,5,0,9,1,0,214,367,5950,2730,12,2011,1
asdin1369,4,22,6,0,0,190,471,7437,8501,2,2019,1
asepmulyadi13,2,14,60,1,0,567,818,6227,8167,6,2011,1
AsiehA616,4,12,12,1,0,593,699,17761,31118,12,2016,1
askar1431212,1,2,399,0,0,167,87,142,104,11,2018,1
assatry,7,1,12,1,0,293,214,6352,21928,12,2009,1
asysyamil,6,20,9,0,0,166,240,9882,16520,4,2012,1
ayudh41,5,12,10,1,0,1612,2072,104028,60480,9,2014,1
azherbal1625,5,7,27,1,0,285,3176,2820,922,4,2018,1
